"ligand_symbol","ligand_ENSG","receptor_symbol","receptor_ENSG"
"PLG","ENSG00000122194","F2R","ENSG00000181104"
"PLG","ENSG00000122194","F2RL1","ENSG00000164251"
"PLG","ENSG00000122194","F3","ENSG00000117525"
"PLG","ENSG00000122194","FLT1","ENSG00000102755"
"PLG","ENSG00000122194","ITGA9","ENSG00000291488"
"PLG","ENSG00000122194","ITGA9","ENSG00000144668"
"PLG","ENSG00000122194","ITGAM","ENSG00000169896"
"PLG","ENSG00000122194","ITGB1","ENSG00000150093"
"PLG","ENSG00000122194","ITGB2","ENSG00000160255"
"PLG","ENSG00000122194","PLAUR","ENSG00000011422"
"PLG","ENSG00000122194","PLGRKT","ENSG00000107020"
"PLTP","ENSG00000100979","ABCA1","ENSG00000165029"
"PMCH","ENSG00000183395","MCHR1","ENSG00000128285"
"PMCH","ENSG00000183395","MCHR2","ENSG00000152034"
"PNOC","ENSG00000168081","OPRL1","ENSG00000277044"
"PNOC","ENSG00000168081","OPRL1","ENSG00000125510"
"POMC","ENSG00000115138","MC1R","ENSG00000258839"
"POMC","ENSG00000115138","MC2R","ENSG00000185231"
"POMC","ENSG00000115138","MC3R","ENSG00000124089"
"POMC","ENSG00000115138","MC4R","ENSG00000166603"
"POMC","ENSG00000115138","MC5R","ENSG00000176136"
"POMC","ENSG00000115138","OPRD1","ENSG00000116329"
"POMC","ENSG00000115138","OPRK1","ENSG00000082556"
"POMC","ENSG00000115138","OPRM1","ENSG00000112038"
"PPBP","ENSG00000163736","CXCR1","ENSG00000163464"
"PPBP","ENSG00000163736","CXCR2","ENSG00000180871"
"PPY","ENSG00000108849","NPY1R","ENSG00000164128"
"PPY","ENSG00000108849","NPY2R","ENSG00000185149"
"PPY","ENSG00000108849","NPY4R","ENSG00000204174"
"PPY","ENSG00000108849","NPY5R","ENSG00000164129"
"PRLH","ENSG00000071677","PRLHR","ENSG00000119973"
"PRL","ENSG00000172179","PRLR","ENSG00000113494"
"PROC","ENSG00000115718","ITGAM","ENSG00000169896"
"PROC","ENSG00000115718","ITGB2","ENSG00000160255"
"PROC","ENSG00000115718","PROCR","ENSG00000101000"
"PROC","ENSG00000115718","THBD","ENSG00000178726"
"PROK1","ENSG00000143125","PROKR1","ENSG00000169618"
"PROK1","ENSG00000143125","PROKR2","ENSG00000101292"
"PROK2","ENSG00000163421","PROKR1","ENSG00000169618"
"PROK2","ENSG00000163421","PROKR2","ENSG00000101292"
"PROS1","ENSG00000184500","AXL","ENSG00000167601"
"PROS1","ENSG00000184500","TYRO3","ENSG00000092445"
"PRSS23","ENSG00000150687","TMEM222","ENSG00000186501"
"PSAP","ENSG00000197746","CD1B","ENSG00000158485"
"PSAP","ENSG00000197746","CELSR1","ENSG00000075275"
"PSAP","ENSG00000197746","GPR37","ENSG00000170775"
"PSAP","ENSG00000197746","GPR37L1","ENSG00000170075"
"PSAP","ENSG00000197746","LRP1","ENSG00000123384"
"PSAP","ENSG00000197746","SORT1","ENSG00000134243"
"PSPN","ENSG00000125650","GFRA1","ENSG00000151892"
"PSPN","ENSG00000125650","GFRA4","ENSG00000125861"
"PSPN","ENSG00000125650","RET","ENSG00000165731"
"PSPN","ENSG00000125650","SDC3","ENSG00000162512"
"PTH2","ENSG00000142538","PTH1R","ENSG00000160801"
"PTH2","ENSG00000142538","PTH2R","ENSG00000144407"
"PTHLH","ENSG00000087494","PRLHR","ENSG00000119973"
"PTHLH","ENSG00000087494","PTH1R","ENSG00000160801"
"PTHLH","ENSG00000087494","PTH2R","ENSG00000144407"
"PTH","ENSG00000152266","PTH1R","ENSG00000160801"
"PTH","ENSG00000152266","PTH2R","ENSG00000144407"
"PTN","ENSG00000105894","ALK","ENSG00000171094"
"PTN","ENSG00000105894","CDH10","ENSG00000040731"
"PTN","ENSG00000105894","PLXNB2","ENSG00000196576"
"PTN","ENSG00000105894","PTPRB","ENSG00000127329"
"PTN","ENSG00000105894","PTPRS","ENSG00000105426"
"PTN","ENSG00000105894","PTPRZ1","ENSG00000106278"
"PTN","ENSG00000105894","SDC1","ENSG00000115884"
"PTN","ENSG00000105894","SDC3","ENSG00000162512"
"PYY","ENSG00000131096","FAP","ENSG00000078098"
"PYY","ENSG00000131096","NPY1R","ENSG00000164128"
"PYY","ENSG00000131096","NPY2R","ENSG00000185149"
"PYY","ENSG00000131096","NPY4R","ENSG00000204174"
"PYY","ENSG00000131096","NPY5R","ENSG00000164129"
"QRFP","ENSG00000188710","P2RY14","ENSG00000174944"
"QRFP","ENSG00000188710","QRFPR","ENSG00000186867"
"RAET1E","ENSG00000164520","KLRK1","ENSG00000213809"
"RARRES2","ENSG00000106538","CCRL2","ENSG00000121797"
"RARRES2","ENSG00000106538","CMKLR1","ENSG00000174600"
"RBP3","ENSG00000265203","NOTCH1","ENSG00000148400"
"RBP4","ENSG00000138207","STRA6","ENSG00000288257"
"RBP4","ENSG00000138207","STRA6","ENSG00000137868"
"RELN","ENSG00000189056","ITGA3","ENSG00000005884"
"RELN","ENSG00000189056","ITGB1","ENSG00000150093"
"RELN","ENSG00000189056","LRP8","ENSG00000157193"
"RELN","ENSG00000189056","VLDLR","ENSG00000147852"
"REN","ENSG00000143839","ASIC3","ENSG00000213199"
"REN","ENSG00000143839","ATP6AP2","ENSG00000182220"
"RLN1","ENSG00000107018","RXFP1","ENSG00000171509"
"RLN1","ENSG00000107018","RXFP2","ENSG00000133105"
"RLN2","ENSG00000107014","RXFP1","ENSG00000171509"
"RLN2","ENSG00000107014","RXFP2","ENSG00000133105"
"RLN3","ENSG00000171136","RXFP1","ENSG00000171509"
"RLN3","ENSG00000171136","RXFP2","ENSG00000133105"
"RLN3","ENSG00000171136","RXFP3","ENSG00000182631"
"RLN3","ENSG00000171136","RXFP3","ENSG00000277069"
"RLN3","ENSG00000171136","RXFP4","ENSG00000173080"
"RSPO1","ENSG00000169218","FZD8","ENSG00000177283"
"RSPO1","ENSG00000169218","LGR4","ENSG00000205213"
"RSPO1","ENSG00000169218","LGR5","ENSG00000139292"
"RSPO1","ENSG00000169218","LGR6","ENSG00000133067"
"RSPO1","ENSG00000169218","LRP6","ENSG00000281324"
"RSPO1","ENSG00000169218","LRP6","ENSG00000070018"
"RSPO1","ENSG00000169218","ZNRF3","ENSG00000183579"
"RSPO2","ENSG00000147655","LGR4","ENSG00000205213"
"RSPO2","ENSG00000147655","LGR5","ENSG00000139292"
"RSPO2","ENSG00000147655","LGR6","ENSG00000133067"
"RSPO3","ENSG00000146374","FZD8","ENSG00000177283"
"RSPO3","ENSG00000146374","LGR4","ENSG00000205213"
"RSPO3","ENSG00000146374","LGR5","ENSG00000139292"
"RSPO3","ENSG00000146374","LGR6","ENSG00000133067"
"RSPO3","ENSG00000146374","LRP6","ENSG00000281324"
"RSPO3","ENSG00000146374","LRP6","ENSG00000070018"
"RSPO3","ENSG00000146374","SDC4","ENSG00000124145"
"RSPO4","ENSG00000101282","LGR4","ENSG00000205213"
"RSPO4","ENSG00000101282","LGR5","ENSG00000139292"
"RSPO4","ENSG00000101282","LGR6","ENSG00000133067"
"SAA1","ENSG00000173432","FPR1","ENSG00000171051"
"SAA1","ENSG00000173432","FPR2","ENSG00000171049"
"SAA1","ENSG00000173432","SCARB1","ENSG00000073060"
"SCGB1A1","ENSG00000149021","LMBR1L","ENSG00000139636"
"SCGB1A1","ENSG00000149021","LRP2","ENSG00000081479"
"SCGB3A1","ENSG00000161055","MARCO","ENSG00000019169"
"SCGB3A2","ENSG00000164265","MARCO","ENSG00000019169"
"SCT","ENSG00000070031","SCTR","ENSG00000080293"
"SCT","ENSG00000070031","VIPR1","ENSG00000114812"
"SCT","ENSG00000070031","VIPR2","ENSG00000106018"
"SEMA3A","ENSG00000075213","NRP1","ENSG00000099250"
"SEMA3A","ENSG00000075213","NRP2","ENSG00000118257"
"SEMA3A","ENSG00000075213","PLXNA1","ENSG00000114554"
"SEMA3A","ENSG00000075213","PLXNA2","ENSG00000076356"
"SEMA3A","ENSG00000075213","PLXNA3","ENSG00000130827"
"SEMA3A","ENSG00000075213","PLXNA4","ENSG00000221866"
"SEMA3B","ENSG00000012171","NRP1","ENSG00000099250"
"SEMA3B","ENSG00000012171","NRP2","ENSG00000118257"
"SEMA3C","ENSG00000075223","NRP1","ENSG00000099250"
"SEMA3C","ENSG00000075223","NRP2","ENSG00000118257"
"SEMA3C","ENSG00000075223","PLXND1","ENSG00000004399"
"SEMA3E","ENSG00000170381","NRP1","ENSG00000099250"
"SEMA3E","ENSG00000170381","PLXND1","ENSG00000004399"
"SEMA3F","ENSG00000001617","NRP1","ENSG00000099250"
"SEMA3F","ENSG00000001617","NRP2","ENSG00000118257"
"SEMA3F","ENSG00000001617","PLXNA1","ENSG00000114554"
"SEMA3F","ENSG00000001617","PLXNA3","ENSG00000130827"
"SEMA3G","ENSG00000010319","NRP2","ENSG00000118257"
"SERPINA1","ENSG00000197249","LRP1","ENSG00000123384"
"SERPINA7","ENSG00000123561","SLC16A2","ENSG00000147100"
"SERPINC1","ENSG00000117601","GPC1","ENSG00000063660"
"SERPINC1","ENSG00000117601","LRP1","ENSG00000123384"
"SERPINC1","ENSG00000117601","SDC2","ENSG00000169439"
"SERPINE1","ENSG00000106366","ITGAV","ENSG00000138448"
"SERPINE1","ENSG00000106366","ITGB5","ENSG00000082781"
"SERPINE1","ENSG00000106366","LRP1","ENSG00000123384"
"SERPINE1","ENSG00000106366","LRP2","ENSG00000081479"
"SERPINE1","ENSG00000106366","PLAUR","ENSG00000011422"
"SERPINE2","ENSG00000135919","LRP1","ENSG00000123384"
"SERPING1","ENSG00000149131","LRP1","ENSG00000123384"
"SERPING1","ENSG00000149131","SELE","ENSG00000007908"
"SERPING1","ENSG00000149131","SELP","ENSG00000174175"
"SFRP1","ENSG00000104332","FZD2","ENSG00000180340"
"SFRP1","ENSG00000104332","FZD6","ENSG00000164930"
"SFTPA1","ENSG00000122852","TLR2","ENSG00000137462"
"SFTPA2","ENSG00000185303","CD93","ENSG00000125810"
"SFTPD","ENSG00000133661","LY96","ENSG00000154589"
"SFTPD","ENSG00000133661","TLR4","ENSG00000136869"
"SHBG","ENSG00000129214","CD177","ENSG00000204936"
"SHBG","ENSG00000129214","CLDN4","ENSG00000189143"
"SHBG","ENSG00000129214","SLC37A1","ENSG00000160190"
"SHH","ENSG00000164690","BOC","ENSG00000144857"
"SHH","ENSG00000164690","CDON","ENSG00000064309"
"SHH","ENSG00000164690","GPC5","ENSG00000179399"
"SHH","ENSG00000164690","HHIP","ENSG00000164161"
"SHH","ENSG00000164690","LRP2","ENSG00000081479"
"SHH","ENSG00000164690","PTCH1","ENSG00000185920"
"SHH","ENSG00000164690","PTCH2","ENSG00000117425"
"SHH","ENSG00000164690","SMO","ENSG00000128602"
"SLIT1","ENSG00000187122","GPC1","ENSG00000063660"
"SLIT1","ENSG00000187122","ROBO1","ENSG00000169855"
"SLIT1","ENSG00000187122","SDC1","ENSG00000115884"
"SLIT2","ENSG00000145147","DCC","ENSG00000187323"
"SLIT2","ENSG00000145147","GPC1","ENSG00000063660"
"SLIT2","ENSG00000145147","ROBO1","ENSG00000169855"
"SLIT2","ENSG00000145147","ROBO2","ENSG00000185008"
"SLIT2","ENSG00000145147","ROBO4","ENSG00000154133"
"SLIT2","ENSG00000145147","SDC1","ENSG00000115884"
"SLIT3","ENSG00000184347","ROBO2","ENSG00000185008"
"SLPI","ENSG00000124107","CD4","ENSG00000010610"
"SOST","ENSG00000167941","LRP5","ENSG00000162337"
"SOST","ENSG00000167941","LRP6","ENSG00000281324"
"SOST","ENSG00000167941","LRP6","ENSG00000070018"
"SPINK1","ENSG00000164266","EGFR","ENSG00000146648"
"SPINK1","ENSG00000164266","NRSN1","ENSG00000152954"
"SPINT1","ENSG00000166145","ST14","ENSG00000149418"
"SPON2","ENSG00000159674","ITGAM","ENSG00000169896"
"SPON2","ENSG00000159674","ITGB2","ENSG00000160255"
"SPP1","ENSG00000118785","CD44","ENSG00000026508"
"SPP1","ENSG00000118785","ITGA4","ENSG00000115232"
"SPP1","ENSG00000118785","ITGA5","ENSG00000161638"
"SPP1","ENSG00000118785","ITGA9","ENSG00000291488"
"SPP1","ENSG00000118785","ITGA9","ENSG00000144668"
"SPP1","ENSG00000118785","ITGAV","ENSG00000138448"
"SPP1","ENSG00000118785","ITGB1","ENSG00000150093"
"SPP1","ENSG00000118785","S1PR1","ENSG00000170989"
"SST","ENSG00000157005","SSTR1","ENSG00000139874"
"SST","ENSG00000157005","SSTR2","ENSG00000180616"
"SST","ENSG00000157005","SSTR3","ENSG00000278195"
"SST","ENSG00000157005","SSTR4","ENSG00000132671"
"SST","ENSG00000157005","SSTR5","ENSG00000162009"
"TAC1","ENSG00000006128","TACR1","ENSG00000115353"
"TAC1","ENSG00000006128","TACR2","ENSG00000075073"
"TAC1","ENSG00000006128","TACR3","ENSG00000169836"
"TAC3","ENSG00000166863","TACR1","ENSG00000115353"
"TAC3","ENSG00000166863","TACR2","ENSG00000075073"
"TAC3","ENSG00000166863","TACR3","ENSG00000169836"
"TAC4","ENSG00000176358","TACR1","ENSG00000115353"
"TAC4","ENSG00000176358","TACR2","ENSG00000075073"
"TAC4","ENSG00000176358","TACR3","ENSG00000169836"
"TCN2","ENSG00000185339","CNR1","ENSG00000118432"
"TCN2","ENSG00000185339","LRP2","ENSG00000081479"
"TCTN1","ENSG00000204852","TMEM67","ENSG00000164953"
"TFPI","ENSG00000003436","F3","ENSG00000117525"
"TFPI","ENSG00000003436","LRP1","ENSG00000123384"
"TFPI","ENSG00000003436","SDC4","ENSG00000124145"
"TFPI","ENSG00000003436","VLDLR","ENSG00000147852"
"TF","ENSG00000091513","GPR162","ENSG00000250510"
"TF","ENSG00000091513","TFR2","ENSG00000106327"
"TF","ENSG00000091513","TFRC","ENSG00000072274"
"TGFB1","ENSG00000105329","ACVRL1","ENSG00000139567"
"TGFB1","ENSG00000105329","CAV1","ENSG00000105974"
"TGFB1","ENSG00000105329","CD109","ENSG00000156535"
"TGFB1","ENSG00000105329","CXCR4","ENSG00000121966"
"TGFB1","ENSG00000105329","ENG","ENSG00000106991"
"TGFB1","ENSG00000105329","ITGAV","ENSG00000138448"
"TGFB1","ENSG00000105329","ITGB6","ENSG00000115221"
"TGFB1","ENSG00000105329","ITGB8","ENSG00000105855"
"TGFB1","ENSG00000105329","SDC2","ENSG00000169439"
"TGFB1","ENSG00000105329","TGFBR1","ENSG00000106799"
"TGFB1","ENSG00000105329","TGFBR2","ENSG00000163513"
"TGFB1","ENSG00000105329","TGFBR3","ENSG00000069702"
"TGFB2","ENSG00000092969","ACVR1","ENSG00000115170"
"TGFB2","ENSG00000092969","ENG","ENSG00000106991"
"TGFB2","ENSG00000092969","TGFBR1","ENSG00000106799"
"TGFB2","ENSG00000092969","TGFBR2","ENSG00000163513"
"TGFB2","ENSG00000092969","TGFBR3","ENSG00000069702"
"TGFB3","ENSG00000119699","ACVRL1","ENSG00000139567"
"TGFB3","ENSG00000119699","ENG","ENSG00000106991"
"TGFB3","ENSG00000119699","TGFBR1","ENSG00000106799"
"TGFB3","ENSG00000119699","TGFBR2","ENSG00000163513"
"TGFB3","ENSG00000119699","TGFBR3","ENSG00000069702"
"TG","ENSG00000042832","ASGR1","ENSG00000141505"
"TG","ENSG00000042832","LRP2","ENSG00000081479"
"THBS1","ENSG00000137801","CD36","ENSG00000135218"
"THBS1","ENSG00000137801","CD47","ENSG00000196776"
"THBS1","ENSG00000137801","ITGA2B","ENSG00000005961"
"THBS1","ENSG00000137801","ITGA3","ENSG00000005884"
"THBS1","ENSG00000137801","ITGA4","ENSG00000115232"
"THBS1","ENSG00000137801","ITGA6","ENSG00000091409"
"THBS1","ENSG00000137801","ITGB1","ENSG00000150093"
"THBS1","ENSG00000137801","ITGB3","ENSG00000259207"
"THBS1","ENSG00000137801","LRP1","ENSG00000123384"
"THBS1","ENSG00000137801","LRP5","ENSG00000162337"
"THBS1","ENSG00000137801","SCARB1","ENSG00000073060"
"THBS1","ENSG00000137801","SDC1","ENSG00000115884"
"THBS1","ENSG00000137801","SDC4","ENSG00000124145"
"THBS1","ENSG00000137801","TNFRSF11B","ENSG00000164761"
"THPO","ENSG00000090534","MPL","ENSG00000117400"
"THPO","ENSG00000090534","SIRPB1","ENSG00000101307"
"TIMP1","ENSG00000102265","CD63","ENSG00000135404"
"TIMP2","ENSG00000035862","ITGA3","ENSG00000005884"
"TIMP2","ENSG00000035862","ITGB1","ENSG00000150093"
"TIMP3","ENSG00000100234","AGTR2","ENSG00000180772"
"TIMP3","ENSG00000100234","KDR","ENSG00000128052"
"TNC","ENSG00000041982","CNTN1","ENSG00000018236"
"TNC","ENSG00000041982","EGFR","ENSG00000146648"
"TNC","ENSG00000041982","ITGA2","ENSG00000164171"
"TNC","ENSG00000041982","ITGA5","ENSG00000161638"
"TNC","ENSG00000041982","ITGA7","ENSG00000135424"
"TNC","ENSG00000041982","ITGA8","ENSG00000077943"
"TNC","ENSG00000041982","ITGA9","ENSG00000291488"
"TNC","ENSG00000041982","ITGA9","ENSG00000144668"
"TNC","ENSG00000041982","ITGAV","ENSG00000138448"
"TNC","ENSG00000041982","ITGB1","ENSG00000150093"
"TNC","ENSG00000041982","NT5E","ENSG00000135318"
"TNC","ENSG00000041982","PTPRB","ENSG00000127329"
"TNC","ENSG00000041982","PTPRZ1","ENSG00000106278"
"TNC","ENSG00000041982","SDC1","ENSG00000115884"
"TNC","ENSG00000041982","SDC4","ENSG00000124145"
"TNFSF15","ENSG00000181634","TNFRSF25","ENSG00000215788"
"TNFSF15","ENSG00000181634","TNFRSF6B","ENSG00000243509"
"TRH","ENSG00000170893","TRHR","ENSG00000174417"
"TSHB","ENSG00000134200","TSHR","ENSG00000165409"
"TSLP","ENSG00000145777","IL7R","ENSG00000168685"
"UCN2","ENSG00000145040","CRHR1","ENSG00000276191"
"UCN2","ENSG00000145040","CRHR1","ENSG00000278232"
"UCN2","ENSG00000145040","CRHR1","ENSG00000120088"
"UCN2","ENSG00000145040","CRHR2","ENSG00000106113"
"UCN2","ENSG00000145040","IL10RB","ENSG00000243646"
"UCN3","ENSG00000178473","CRHR1","ENSG00000276191"
"UCN3","ENSG00000178473","CRHR1","ENSG00000278232"
"UCN3","ENSG00000178473","CRHR1","ENSG00000120088"
"UCN3","ENSG00000178473","CRHR2","ENSG00000106113"
"UCN3","ENSG00000178473","IL10RB","ENSG00000243646"
"UCN","ENSG00000163794","CRHR1","ENSG00000276191"
"UCN","ENSG00000163794","CRHR1","ENSG00000278232"
"UCN","ENSG00000163794","CRHR1","ENSG00000120088"
"UCN","ENSG00000163794","CRHR2","ENSG00000106113"
"UTS2B","ENSG00000188958","UTS2R","ENSG00000181408"
"UTS2","ENSG00000049247","UTS2R","ENSG00000181408"
"VCAN","ENSG00000038427","CD44","ENSG00000026508"
"VCAN","ENSG00000038427","EGFR","ENSG00000146648"
"VCAN","ENSG00000038427","ITGA4","ENSG00000115232"
"VCAN","ENSG00000038427","ITGB1","ENSG00000150093"
"VCAN","ENSG00000038427","SELL","ENSG00000188404"
"VCAN","ENSG00000038427","SELP","ENSG00000174175"
"VCAN","ENSG00000038427","TLR1","ENSG00000174125"
"VCAN","ENSG00000038427","TLR2","ENSG00000137462"
"VEGFA","ENSG00000112715","EGFR","ENSG00000146648"
"VEGFA","ENSG00000112715","EPHB2","ENSG00000133216"
"VEGFA","ENSG00000112715","FLT1","ENSG00000102755"
"VEGFA","ENSG00000112715","GPC1","ENSG00000063660"
"VEGFA","ENSG00000112715","ITGA9","ENSG00000291488"
"VEGFA","ENSG00000112715","ITGA9","ENSG00000144668"
"VEGFA","ENSG00000112715","ITGAV","ENSG00000138448"
"VEGFA","ENSG00000112715","ITGB1","ENSG00000150093"
"VEGFA","ENSG00000112715","KDR","ENSG00000128052"
"VEGFA","ENSG00000112715","NRP1","ENSG00000099250"
"VEGFA","ENSG00000112715","NRP2","ENSG00000118257"
"VEGFA","ENSG00000112715","RET","ENSG00000165731"
"VEGFA","ENSG00000112715","SIRPA","ENSG00000198053"
"VEGFA","ENSG00000112715","TYRO3","ENSG00000092445"
"VEGFB","ENSG00000173511","FLT1","ENSG00000102755"
"VEGFB","ENSG00000173511","NRP1","ENSG00000099250"
"VEGFB","ENSG00000173511","RET","ENSG00000165731"
"VEGFB","ENSG00000173511","TYRO3","ENSG00000092445"
"VEGFC","ENSG00000150630","FLT1","ENSG00000102755"
"VEGFC","ENSG00000150630","FLT4","ENSG00000037280"
"VEGFC","ENSG00000150630","ITGA9","ENSG00000291488"
"VEGFC","ENSG00000150630","ITGA9","ENSG00000144668"
"VEGFC","ENSG00000150630","ITGB1","ENSG00000150093"
"VEGFC","ENSG00000150630","KDR","ENSG00000128052"
"VEGFC","ENSG00000150630","LYVE1","ENSG00000133800"
"VEGFC","ENSG00000150630","NRP2","ENSG00000118257"
"VEGFC","ENSG00000150630","VIPR2","ENSG00000106018"
"VIP","ENSG00000146469","ADCYAP1R1","ENSG00000078549"
"VIP","ENSG00000146469","NPR3","ENSG00000113389"
"VIP","ENSG00000146469","SCTR","ENSG00000080293"
"VIP","ENSG00000146469","VIPR1","ENSG00000114812"
"VIP","ENSG00000146469","VIPR2","ENSG00000106018"
"VTN","ENSG00000109072","CD47","ENSG00000196776"
"VTN","ENSG00000109072","ITGA2B","ENSG00000005961"
"VTN","ENSG00000109072","ITGA3","ENSG00000005884"
"VTN","ENSG00000109072","ITGA5","ENSG00000161638"
"VTN","ENSG00000109072","ITGA8","ENSG00000077943"
"VTN","ENSG00000109072","ITGAV","ENSG00000138448"
"VTN","ENSG00000109072","ITGB1","ENSG00000150093"
"VTN","ENSG00000109072","ITGB3","ENSG00000259207"
"VTN","ENSG00000109072","ITGB5","ENSG00000082781"
"VTN","ENSG00000109072","ITGB6","ENSG00000115221"
"VTN","ENSG00000109072","ITGB8","ENSG00000105855"
"VTN","ENSG00000109072","KDR","ENSG00000128052"
"VTN","ENSG00000109072","PLAUR","ENSG00000011422"
"VTN","ENSG00000109072","PVR","ENSG00000073008"
"VTN","ENSG00000109072","TNFRSF11B","ENSG00000164761"
"VWF","ENSG00000110799","GP1BA","ENSG00000185245"
"VWF","ENSG00000110799","ITGA2B","ENSG00000005961"
"VWF","ENSG00000110799","SELP","ENSG00000174175"
"VWF","ENSG00000110799","SIRPA","ENSG00000198053"
"VWF","ENSG00000110799","TNFRSF11B","ENSG00000164761"
"WNT11","ENSG00000085741","FZD7","ENSG00000155760"
"WNT16","ENSG00000002745","FZD6","ENSG00000164930"
"WNT1","ENSG00000125084","FZD1","ENSG00000157240"
"WNT1","ENSG00000125084","FZD3","ENSG00000104290"
"WNT1","ENSG00000125084","FZD5","ENSG00000163251"
"WNT1","ENSG00000125084","FZD7","ENSG00000155760"
"WNT1","ENSG00000125084","FZD8","ENSG00000177283"
"WNT1","ENSG00000125084","FZD9","ENSG00000188763"
"WNT1","ENSG00000125084","LRP5","ENSG00000162337"
"WNT1","ENSG00000125084","LRP6","ENSG00000281324"
"WNT1","ENSG00000125084","LRP6","ENSG00000070018"
"WNT1","ENSG00000125084","RYK","ENSG00000163785"
"WNT2","ENSG00000105989","FZD1","ENSG00000157240"
"WNT2","ENSG00000105989","FZD5","ENSG00000163251"
"WNT2","ENSG00000105989","FZD7","ENSG00000155760"
"WNT2","ENSG00000105989","FZD8","ENSG00000177283"
"WNT2","ENSG00000105989","FZD9","ENSG00000188763"
"WNT2","ENSG00000105989","LRP6","ENSG00000281324"
"WNT2","ENSG00000105989","LRP6","ENSG00000070018"
"WNT3A","ENSG00000154342","APCDD1","ENSG00000154856"
"WNT3A","ENSG00000154342","ATP6AP2","ENSG00000182220"
"WNT3A","ENSG00000154342","FZD1","ENSG00000157240"
"WNT3A","ENSG00000154342","FZD2","ENSG00000180340"
"WNT3A","ENSG00000154342","FZD5","ENSG00000163251"
"WNT3A","ENSG00000154342","FZD6","ENSG00000164930"
"WNT3A","ENSG00000154342","FZD7","ENSG00000155760"
"WNT3A","ENSG00000154342","FZD8","ENSG00000177283"
"WNT3A","ENSG00000154342","LRP1","ENSG00000123384"
"WNT3A","ENSG00000154342","LRP6","ENSG00000281324"
"WNT3A","ENSG00000154342","LRP6","ENSG00000070018"
"WNT3A","ENSG00000154342","RYK","ENSG00000163785"
"WNT3","ENSG00000108379","FZD1","ENSG00000157240"
"WNT3","ENSG00000108379","FZD5","ENSG00000163251"
"WNT3","ENSG00000108379","FZD7","ENSG00000155760"
"WNT3","ENSG00000108379","FZD8","ENSG00000177283"
"WNT3","ENSG00000108379","LRP6","ENSG00000281324"
"WNT3","ENSG00000108379","LRP6","ENSG00000070018"
"WNT3","ENSG00000108379","RYK","ENSG00000163785"
"WNT5A","ENSG00000114251","FZD1","ENSG00000157240"
"WNT5A","ENSG00000114251","FZD2","ENSG00000180340"
"WNT5A","ENSG00000114251","FZD4","ENSG00000174804"
"WNT5A","ENSG00000114251","FZD5","ENSG00000163251"
"WNT5A","ENSG00000114251","FZD6","ENSG00000164930"
"WNT5A","ENSG00000114251","FZD7","ENSG00000155760"
"WNT5A","ENSG00000114251","FZD8","ENSG00000177283"
"WNT5A","ENSG00000114251","LRP5","ENSG00000162337"
"WNT5A","ENSG00000114251","MCAM","ENSG00000076706"
"WNT5A","ENSG00000114251","ROR1","ENSG00000185483"
"WNT5A","ENSG00000114251","ROR2","ENSG00000169071"
"WNT5A","ENSG00000114251","RYK","ENSG00000163785"
"WNT7B","ENSG00000188064","FZD1","ENSG00000157240"
"WNT7B","ENSG00000188064","FZD10","ENSG00000111432"
"WNT7B","ENSG00000188064","LRP5","ENSG00000162337"
"XCL1","ENSG00000143184","XCR1","ENSG00000173578"
"XCL2","ENSG00000143185","XCR1","ENSG00000173578"
"ZG16B","ENSG00000162078","CXCR4","ENSG00000121966"
"ZG16B","ENSG00000162078","TLR2","ENSG00000137462"
"ZG16B","ENSG00000162078","TLR4","ENSG00000136869"
"ZG16B","ENSG00000162078","TLR5","ENSG00000187554"
"ZG16B","ENSG00000162078","TLR6","ENSG00000174130"
