sample_id,resorce,diseases,status,tissue,omic_type
117,GSM1252796,HD,HD,Blood,bulk_rna
118,GSM1252797,HD,HD,Blood,bulk_rna
119,GSM1252798,HD,HD,Blood,bulk_rna
120,GSM1252800,HD,HD,Blood,bulk_rna
121,GSM1252801,HD,HD,Blood,bulk_rna
122,GSM1252802,HD,HD,Blood,bulk_rna
123,GSM1252803,HD,HD,Blood,bulk_rna
124,GSM1252804,HD,HD,Blood,bulk_rna
125,GSM1252805,HD,HD,Blood,bulk_rna
126,GSM1252806,HD,HD,Blood,bulk_rna
127,GSM1252807,HD,HD,Blood,bulk_rna
128,GSM1252808,HD,HD,Blood,bulk_rna
129,GSM1252809,HD,HD,Blood,bulk_rna
130,GSM1252810,HD,HD,Blood,bulk_rna
131,GSM1252812,HD,HD,Blood,bulk_rna
132,GSM1252813,HD,HD,Blood,bulk_rna
133,GSM1252815,HD,HD,Blood,bulk_rna
134,GSM1252816,HD,HD,Blood,bulk_rna
135,GSM1252817,HD,HD,Blood,bulk_rna
136,GSM1252818,HD,HD,Blood,bulk_rna
137,GSM1252819,HD,HD,Blood,bulk_rna
138,GSM1252821,HD,HD,Blood,bulk_rna
139,GSM1252823,HD,HD,Blood,bulk_rna
140,GSM1252824,HD,HD,Blood,bulk_rna
141,GSM1252828,HD,CT,Blood,bulk_rna
142,GSM1252829,HD,CT,Blood,bulk_rna
143,GSM1252944,HD,CT,Blood,bulk_rna
144,GSM1252711,HD,CT,Blood,bulk_rna
145,GSM1252721,HD,CT,Blood,bulk_rna
146,GSM1252724,HD,CT,Blood,bulk_rna
147,GSM1252728,HD,CT,Blood,bulk_rna
148,GSM1252732,HD,CT,Blood,bulk_rna
149,GSM1252734,HD,CT,Blood,bulk_rna
150,GSM1252739,HD,HD,Blood,bulk_rna
151,GSM1252747,HD,HD,Blood,bulk_rna
152,GSM1252749,HD,HD,Blood,bulk_rna
153,GSM1252753,HD,HD,Blood,bulk_rna
154,GSM1252754,HD,HD,Blood,bulk_rna
155,GSM1252755,HD,HD,Blood,bulk_rna
156,GSM1252762,HD,HD,Blood,bulk_rna
157,GSM1252770,HD,HD,Blood,bulk_rna
158,GSM1252771,HD,HD,Blood,bulk_rna
159,GSM1252784,HD,HD,Blood,bulk_rna
160,GSM1252791,HD,HD,Blood,bulk_rna
161,GSM1252795,HD,HD,Blood,bulk_rna
162,GSM1252799,HD,HD,Blood,bulk_rna
